feature_name,feature_tag,name,Address,Latitude,Longitude,Location,Nearest(poi)
99speedmart,convenience_store,99SpeedMart @Banting,"A1-0(Tingkat Bawah), Jalan Wisma, Bangunan Wisma Banting, 42700 Banting, Selangor Darul Ehsan.",2.815001,101.503224,Banting,"['Nasi Kukus Ayam&Puyuh Goreng Berempah', 'MA Nasi Kukus Ayam Berempah', 'Nasi Kukus Banting']"
99speedmart,convenience_store,99SpeedMart @Telok Gong,"Pt 8926, Jalan Telok Gong, Kampung Telok Gong, 42000 Pelabuhan Klang, Selangor Darul Ehsan.",2.963484,101.39252,Telok Gong,"['唯美雲吞面 Teluk Gong', 'Gudang Bernas', 'Sri Mayurri']"
99speedmart,convenience_store,99SpeedMart @Pekan Meru 1,"9366-9368, Jalan Besar, Pekan Meru, 41050 Klang, Selangor Darul Ehsan.",3.131721,101.440178,Pekan Meru 1,"['Syarikat Motor Huat Heng', 'Restoran Salero Bistro', 'Gerai Kuih-Muih Tepi Petronas']"
99speedmart,convenience_store,99SpeedMart @Klang Utama 1,"2, Jalan Sungai Puloh 13, Taman Klang Utama, 42100 Klang, Selangor Darul Ehsan.",3.078498,101.420492,Klang Utama 1,"['Restaurant Ah Lek 雅烈', 'Klinik Keluarga & Surgeri Damai', 'TS Curry House']"
99speedmart,convenience_store,99SpeedMart @Alam Megah 1,"No.1, Jalan Pulau Kempas 28/3, Seksyen 28, 40400 Shah Alam, Selangor Darul Ehsan.",3.007263,101.569053,Alam Megah 1,"['Guardian', 'BundleBrew Vape', 'Guardian Farmasi']"
99speedmart,convenience_store,99SpeedMart @(SBH) Cyber Square,"No: A-3A & A-5 (G & 1st Floor),Block A,Cyber Square,Jalan Kepayan,88250 Kota Kinabalu,Sabah.",,,(SBH) Cyber Square,
99speedmart,convenience_store,99SpeedMart @Bukit Kapar,"39-41, Jalan Bukit Kapar, Pekan Kapar , 42200 Kapar, Selangor Darul Ehsan.",3.139873,101.378777,Bukit Kapar,"['溢香肉骨茶', 'BHPetrol Taman Kapar']"
99speedmart,convenience_store,99SpeedMart @Port Klang 1,"118 (Grd. Floor), Jalan Tengku Bandar, 42000 Pelabuhan Klang, Selangor Darul Ehsan.",3.006454,101.399734,Port Klang 1,"['Big Tree Bak Kutt Teh', '巴生港口大树头肉骨茶', 'Teguh Cemerlang (M) Sdn Bhd']"
99speedmart,convenience_store,99SpeedMart @Sri Andalas 1,"2, Jalan Seri Sarawak 19, Taman Sri Andalas,  42100 Klang, Selangor Darul Ehsan.",3.015448,101.442109,Sri Andalas 1,"['Perniagaan Pakaian Tee (Kak Any)', 'newplace']"
99speedmart,convenience_store,99SpeedMart @Taman Desawan,"Block A, No 4671(Grd Floor),  Wisma AMI, Jalan Gambus 2, Tmn. Desawan, 41200 Klang, Selangor Darul Ehsan.",3.00189,101.443006,Taman Desawan,"['Bali Massage', 'JKTV', 'Iyer Mamak']"
99speedmart,convenience_store,99SpeedMart @Sentosa,"41-43, Jalan Datuk Yusuf Shahbuddin 28, Taman Sentosa, 41200 Klang, Selangor Darul Ehsan.",3.007574,101.463954,Sentosa,"['佳香炒鱼', 'Man Xiang Yuan Seafood Restaurant']"
99speedmart,convenience_store,99SpeedMart @Kampung Jawa,"7695-7697, Jalan Teluk Batu 1, Bt.4 1/2 Jalan Kebun, 41000 Klang, Selangor Darul Ehsan.",3.012256,101.488039,Kampung Jawa,"['T.N Machinery Hardware Sdn Bhd', 'DiGi Gold Dealer- E Touch Mobile']"
99speedmart,convenience_store,99SpeedMart @Eng Ann,"6-8, Lorong Kasawari 4, Taman Eng Ann , 41150 Klang, Selangor Darul Ehsan.",3.056552,101.459297,Eng Ann,"['Eng Ann Coffee Shop', 'Mamak Taman Eng Ann', 'Prawn Mee House @ Tmn. Rashna']"
99speedmart,convenience_store,99SpeedMart @Kota Kemuning 1,"No.29, Jalan C, 31/C Kota Kemuning, Seksyen 31, 40460 Shah Alam, Selangor Darul Ehsan.",2.990099,101.547348,Kota Kemuning 1,"['Elken Stokist Kota Kemuning', 'Kedai Dobi Morning Glory', 'Bunley Electrical And Air-Conditioning Service']"
99speedmart,convenience_store,99SpeedMart @Pandamaran Jaya,"NO. 2 & 4 (Grd Floor), Jalan Lengkok Pandamaran 63, 42000 Pelabuhan Klang, Selangor Darul Ehsan.",3.004204,101.423796,Pandamaran Jaya,"['Pasaraya Aladdin', 'Pasar Malam Pandamaran Jaya']"
99speedmart,convenience_store,99SpeedMart @(SBH) Api-Api Centre,"No: 3/G12 & 3/G13 (GF),Lorong Api-Api 2,Api-Api Centre,88000 Kota Kinabalu,Sabah.",,,(SBH) Api-Api Centre,
99speedmart,convenience_store,99SpeedMart @Sri Muda 1,"No.61 & 63, Jalan Makmur 25/64, Seksyen 25, Taman Sri Muda, 40400 Shah Alam, Selangor Darul Ehsan.",3.032366,101.537349,Sri Muda 1,"['S.I Home Shelter', 'Hotel Sri Muda', 'Ameer Corner']"
99speedmart,convenience_store,99SpeedMart @Sri Setia,"601-602, Jalan SS9A/13,  Sunga Way, 47300 Petaling Jaya.,  Selangor Darul Ehsan.",3.086137,101.621409,Sri Setia,"['BSN Sungai Way', 'Y.S.Chong Motor Trading Sdn. Bhd']"
99speedmart,convenience_store,99SpeedMart @Wangsa Permai,"SSG6 & SSG7, Sri Saujana, Jalan Wangsa Permai, 52200 Kepong.",3.209964,101.610492,Wangsa Permai,"['Car Wash Wangsa Permai', 'Restauran 333', 'Pasar Pagi Wangsa Permai']"
99speedmart,convenience_store,99SpeedMart @Jalan Meru,"155(G), Wisma Harp Soon, Jalan Meru, 41050 Klang, Selangor Darul Ehsan.",3.062675,101.451926,Jalan Meru,"['7-11 Jalan Meru', 'Mindajaya Tuition Centre']"
99speedmart,convenience_store,99SpeedMart @Desa Mentari,"No.1, Jalan PJS 6/5F, Desa Mentari, 46000 Petaling Jaya, Selangor Darul Ehsan.",3.081091,101.618984,Desa Mentari,"['Dobi Queen Desa Mentari', 'Restaurant Chong Mak Kok', 'Jayamurugan Vadivelu & Partners']"
99speedmart,convenience_store,99SpeedMart @Klang Town,"64 & 66 (Grd Floor), Jalan Pasar, 41400 Klang, Selangor Darul Ehsan.",3.050022,101.443761,Klang Town,"['Goldcourse Hotel Ballroom', 'Pan Digital Business System', 'Cafe Sri Emas']"
